"Date","Description","Comments","Check Number","Amount","Balance"
"01/31/2023","#089501 PROGRESSIVE *INSURANCE 800-776-4737 OH  Card 15 #6394","","","-$203.16","$979.80"
"01/31/2023","NEW SAMS.COM MEM# 888-746-7726 AR Card 6394","","","-$25.00","$1,182.96"
"01/31/2023","To Share 0200 REF# 24198956 FIRSTMARK SERVICES","","","-$301.86","$1,207.96"
"01/31/2023","To Share 0200 REF# 24198814 CITI - BEST BUY","","","-$50.10","$1,509.82"
"01/31/2023","To Share 0200 REF# 24198789 CAPITAL ONE - QUICKSILVER ONE","","","-$74.00","$1,559.92"
"01/31/2023","To Loan xx1647 CREDIT CARD PAYMENT TO X1647 REF# 24198774","","","-$89.00","$1,633.92"
"01/31/2023","REF# 24198678 To QUIST,ANTHONY x9226 Share 0300","","","-$850.00","$1,722.92"
"01/31/2023","From Share 0200 REF# 24198670","","","$1,754.93","$2,572.92"
"01/31/2023","TOTAL WINE AND MORE WOODBURY MN Card 6394","","","-$8.99","$817.99"
"01/31/2023","WINNER GAS OAKDALE OAKDALE MN Card 6394","","","-$15.09","$826.98"
"01/31/2023","AFFINITY PLUS FEDERAL CRE 800-3227228 MN Card 6394","","","-$10.00","$842.07"
"01/30/2023","DD DOORDASH BUFFALOWI 855-973-1040 CA Card 6394","","","-$47.71","$852.07"
"01/29/2023","RAY J'S AMERICAN GRILL WOODBURY MN Card 6394","","","-$66.31","$899.78"
"01/29/2023","REF# 24168939 To AHRENHOLZ,KIMBER x6192 Share 0001","","","-$100.00","$966.09"
"01/28/2023","CITY WALK ECOMM 651-7300329 MN Card 6394","","","-$2,037.98","$1,066.09"
"01/28/2023","KWIK-TRIP ROSEMOUNT MN Card 6394","","","-$19.18","$3,104.07"
"01/28/2023","STEAMGAMES.COM x2985 425-8899642 WA Card 6394","","","-$18.00","$3,123.25"
"01/28/2023","KWIK-TRIP ROSEMOUNT MN Card 6394","","","-$16.73","$3,141.25"
"01/28/2023","E&G 1066-ECOMM APPLE VALLEY MN Card 6394","","","-$26.78","$3,157.98"
"01/28/2023","AMERICAN STRATEGIC INSURA 727-8218765 FL Card 6394","","","-$147.48","$3,184.76"
"01/27/2023","#219437 AFFIRM PAY PC6 SAN FRANCISCO CA  Card 15 #6394","","","-$223.77","$3,332.24"
"01/27/2023","TOTAL WINE AND MORE WOODBURY MN Card 6394","","","-$6.85","$3,556.01"
"01/27/2023","PRINCIPAL TRUST : DR CR  ID: x9493CO: PRINCIPAL TRUST  ACH ECC PPD  ACH Trace x016275389","","","$2,795.00","$3,562.86"
"01/26/2023","From Share 0200 REF# 24119134","","","$637.45","$767.86"
"01/26/2023","TOTAL WINE AND MORE WOODBURY MN Card 6394","","","-$6.85","$130.41"
"01/25/2023","OFFICEMAX/DEPOT 6463 APPLE VALLEY MN Card 6394","","","-$1.93","$137.26"
"01/25/2023","OFFICEMAX/DEPOT 6463 800-463-3768 MN Card 6394","","","-$3.47","$139.19"
